ID,Player Name,Team,Position,Status,Age
*05y23*,Tanner Bibee,CLE,SP,Bird,25
*03djk*,Tanner Houck,BOS,SP,JGC,27
*03dfa*,Tanner Scott,MIA,RP,BEIM,29
*04ptt*,Tarik Skubal,DET,SP,owenhern,27
*03pje*,Taylor Ward,LAA,OF,DT,30
*02xic*,Teoscar Hernandez,LAD,OF,Geezers,31
*05rc5*,Termarr Johnson,PIT,2B,PAP,19
*03aay*,Thairo Estrada,SF,"2B,SS",Kirby,28
*05jpx*,Tink Hence,STL,"SP,RP",PAP,21
*045gu*,TJ Friedl,CIN,OF,Kirby,28
*041sq*,Tommy Edman,STL,"2B,SS,OF",DT,29
*025fx*,Tommy Pham,CHW,OF,DT,36
*05jse*,Tommy Troy,ARI,SS,PAP,22
*041v6*,Tony Gonsolin,LAD,SP,JGC,30
*01s99*,Travis d'Arnaud,ATL,C,BEIM,35
*02c68*,Trea Turner,PHI,SS,Geezers,30
*03dau*,Trevor Megill,MIL,RP,BEIM,30
*02bqh*,Trevor Story,BOS,SS,Kirby,31
*05tuw*,Trey Sweeney,LAD,SS,Kirby,24
*04de1*,Triston Casas,BOS,1B,PAP,24
*03pon*,Triston McKenzie,CLE,SP,LIAM,26
*0473n*,Tyler A. Wells,BAL,SP,BARTO,29
*026mq*,Tyler Anderson,LAA,SP,Geezers,34
*05u2u*,Tyler Black,MIL,2B,Geezers,23
*04efc*,Tyler Freeman,CLE,"3B,OF",Bird,25
*02btx*,Tyler Glasnow,LAD,SP,DT,30
*05xu8*,Tyler Locklear,SEA,"1B,3B",LIAM,23
*0312g*,Tyler Mahle,TEX,SP,BARTO,29
*02yk4*,Tyler O'Neill,BOS,OF,DT,28
*05gtn*,Tyler Soderstrom,OAK,1B,Tino,22
*03pix*,Tyler Stephenson,CIN,C,owenhern,27
*0518n*,Vaughn Grissom,BOS,"2B,SS",Tino,23
*0648z*,Victor Scott,STL,OF,Tino,23
*05184*,Vinnie Pasquantino,KC,1B,Tino,26
*03ojr*,Vladimir Guerrero Jr.,TOR,1B,reed,25
*03aac*,Walker Buehler,LAD,SP,BARTO,29
*05u3v*,Walker Jenkins,MIN,OF,owenhern,19
*04an8*,Wenceel Perez,DET,"SS,OF",owenhern,24
*03zcx*,Will Benson,CIN,OF,reed,25
*042sz*,Will Smith,LAD,C,DT,29
*03btu*,Willi Castro,MIN,"3B,SS,OF",BARTO,27
*03yrz*,William Contreras,MIL,C,JGC,26
*03oh0*,Willson Contreras,STL,C,LIAM,32
*03atq*,Willy Adames,MIL,SS,LIAM,28
*060x1*,Wilyer Abreu,BOS,OF,Kirby,24
*060pm*,Wyatt Langford,TEX,OF,Tino,22
*025gb*,Xander Bogaerts,SD,"2B,SS",JGC,31
*062pp*,Xavier Isaac,TB,1B,Bird,20
*0524l*,Yainer Diaz,HOU,C,reed,25
*03m6o*,Yandy Diaz,TB,1B,Geezers,32
*05g3k*,Yanquiel Fernandez,COL,OF,BARTO,21
*06at1*,Yariel Rodriguez,TOR,SP,BARTO,27
*05ych*,Yasser Mercedes,MIN,OF,BEIM,19
*050ok*,Yennier Cano,BAL,RP,PAP,30
*02z0e*,Yimi Garcia,TOR,RP,JGC,33
*04355*,Yordan Alvarez,HOU,OF,LIAM,26
*05r8n*,Yoshinobu Yamamoto,LAD,SP,DT,25
*01c5l*,Yu Darvish,SD,SP,JGC,37
*04ml0*,Yusei Kikuchi,TOR,SP,DT,32
*041qo*,Zac Gallen,ARI,SP,LIAM,28
*05gbg*,Zac Veen,COL,OF,BEIM,22
*0641c*,Zach Dezenzo,HOU,3B,JGC,23
*02mwq*,Zach Eflin,TB,SP,Geezers,30
*05xu5*,Zach Neto,LAA,SS,Kirby,23
*05ub0*,Zack Gelof,OAK,2B,Bird,24
*031d4*,Zack Littell,TB,"SP,RP",Geezers,28
*01sb3*,Zack Wheeler,PHI,SP,reed,34
*066cf*,Zebby Matthews,MIN,SP,PAP,24
