,ID,Player Name,Team,Position,Status,Age,RANK
424,*030uc*,Rafael Devers,BOS,3B,reed,27,26
425,*03aqv*,Raisel Iglesias,ATL,RP,LIAM,34,267
426,*067yp*,Ralphy Velazquez,CLE,C,Tino,19,320
427,*040b5*,Randy Arozarena,TB,OF,Geezers,29,97
428,*03et8*,Ranger Suarez,PHI,SP,LIAM,28,105
429,*04px8*,Reese Olson,DET,SP,Bird,24,206
430,*0596g*,Reid Detmers,LAA,SP,BARTO,24,250
431,*03i81*,Reynaldo Lopez,ATL,"SP,RP",LIAM,30,176
432,*061bo*,Rhett Lowder,CIN,SP,owenhern,22,500
433,*03de9*,Rhys Hoskins,MIL,1B,LIAM,31,166
434,*04ppk*,Richie Palacios,TB,"2B,OF",reed,27,500
435,*05js6*,Ricky Tiedemann,TOR,SP,PAP,21,223
436,*04nb2*,Riley Greene,DET,OF,PAP,23,73
437,*05ynx*,River Ryan,LAD,SP,PAP,25,500
438,*025j1*,Robbie Ray,SF,SP,JGC,32,331
439,*061mh*,Robby Snelling,SD,RP,Geezers,20,500
440,*05u6r*,Robert Gasser,MIL,SP,owenhern,25,414
441,*02bq7*,Robert Stephenson,LAA,RP,JGC,31,500
442,*05r01*,Robert Suarez,SD,RP,Geezers,33,265
443,*05gec*,Roderick Arias,NYY,SS,owenhern,19,388
444,*05u9z*,Roman Anthony,BOS,OF,Kirby,20,124
445,*03wha*,Ronald Acuna Jr.,ATL,OF,BEIM,26,4
446,*04ydi*,Ronel Blanco,HOU,"SP,RP",Geezers,30,288
447,*04fyo*,Ronny Mauricio,NYM,2B,PAP,23,259
448,*04aeb*,Royce Lewis,MIN,3B,PAP,25,65
449,*05tc7*,Ryan Bliss,SEA,SS,Geezers,24,500
450,*03ql5*,Ryan Helsley,STL,RP,DT,29,130
451,*04pmu*,Ryan Jeffers,MIN,C,Tino,27,160
452,*0310n*,Ryan McMahon,COL,"2B,3B",BARTO,29,277
453,*03pjl*,Ryan Mountcastle,BAL,1B,Kirby,27,276
454,*0512m*,Ryan Pepiot,TB,"SP,RP",BARTO,26,110
455,*066n3*,Ryan Walker,SF,"SP,RP",owenhern,28,500
456,*04mnw*,Ryan Weathers,MIA,SP,owenhern,24,287
457,*05rb1*,Sal Frelick,MIL,OF,owenhern,24,291
458,*01u75*,Salvador Perez,KC,"C,1B",BEIM,34,165
459,*05rbv*,Samuel Basallo,BAL,C,Bird,19,188
460,*03btv*,Sandy Alcantara,MIA,SP,LIAM,28,195
461,*03qs8*,Scott Effross,NYY,RP,BEIM,30,500
462,*02x0f*,Sean Manaea,NYM,"SP,RP",Tino,32,359
463,*03aoy*,Sean Murphy,ATL,C,PAP,29,254
464,*0662o*,Sebastian Walcott,TEX,SS,BEIM,18,262
465,*04b02*,Seiya Suzuki,CHC,OF,reed,29,89
466,*03sef*,Seth Lugo,KC,SP,JGC,34,301
467,*04cwf*,Shane Baz,TB,SP,BEIM,24,196
468,*041rf*,Shane Bieber,CLE,SP,Tino,29,500
469,*04mlt*,Shane McClanahan,TB,SP,LIAM,27,79
470,*04o4s*,Shea Langeliers,OAK,C,owenhern,26,312
471,*02yc4*,Shohei Ohtani,LAD,"UT,SP",BEIM,29,3
472,*02yc4*,Shohei Ohtani,LAD,"UT,SP",BEIM,29,4
473,*02yc4*,Shohei Ohtani,LAD,"UT,SP",BEIM,29,107
474,*05ge9*,Shota Imanaga,CHC,SP,PAP,30,75
475,*0260v*,Sonny Gray,STL,SP,PAP,34,112
476,*04yi8*,Spencer Jones,NYY,"1B,OF",Tino,23,123
477,*05tq1*,Spencer Schwellenbach,ATL,SP,LIAM,24,500
478,*0512e*,Spencer Steer,CIN,"1B,3B,OF",PAP,26,61
479,*05mre*,Spencer Strider,ATL,SP,BARTO,25,77
480,*04yk2*,Spencer Torkelson,DET,1B,Geezers,24,143
481,*01s9k*,Starling Marte,NYM,OF,PAP,35,346
482,*04pr1*,Steven Kwan,CLE,OF,owenhern,26,233
483,*04pr8*,Taj Bradley,TB,SP,Tino,23,140
484,*05y23*,Tanner Bibee,CLE,SP,Bird,25,109
485,*03djk*,Tanner Houck,BOS,SP,JGC,27,154
486,*03dfa*,Tanner Scott,MIA,RP,BEIM,29,404
487,*04ptt*,Tarik Skubal,DET,SP,owenhern,27,20
488,*03pje*,Taylor Ward,LAA,OF,DT,30,133
489,*02xic*,Teoscar Hernandez,LAD,OF,Geezers,31,162
490,*05rc5*,Termarr Johnson,PIT,2B,PAP,19,261
491,*03aay*,Thairo Estrada,SF,"2B,SS",Kirby,28,268
492,*05jpx*,Tink Hence,STL,"SP,RP",PAP,21,226
493,*045gu*,TJ Friedl,CIN,OF,Kirby,28,356
494,*041sq*,Tommy Edman,STL,"2B,SS,OF",DT,29,308
495,*025fx*,Tommy Pham,CHW,OF,DT,36,345
496,*05jse*,Tommy Troy,ARI,SS,PAP,22,390
497,*041v6*,Tony Gonsolin,LAD,SP,JGC,30,500
498,*01s99*,Travis d'Arnaud,ATL,C,BEIM,35,500
499,*02c68*,Trea Turner,PHI,SS,Geezers,30,18
500,*03dau*,Trevor Megill,MIL,RP,BEIM,30,328
501,*02bqh*,Trevor Story,BOS,SS,Kirby,31,500
502,*05tuw*,Trey Sweeney,LAD,SS,Kirby,24,500
503,*04de1*,Triston Casas,BOS,1B,PAP,24,59
504,*03pon*,Triston McKenzie,CLE,SP,LIAM,26,500
505,*0473n*,Tyler A. Wells,BAL,SP,BARTO,29,401
506,*026mq*,Tyler Anderson,LAA,SP,Geezers,34,500
507,*05u2u*,Tyler Black,MIL,2B,Geezers,23,500
508,*04efc*,Tyler Freeman,CLE,"3B,OF",Bird,25,314
509,*02btx*,Tyler Glasnow,LAD,SP,DT,30,33
510,*05xu8*,Tyler Locklear,SEA,"1B,3B",LIAM,23,241
511,*0312g*,Tyler Mahle,TEX,SP,BARTO,29,500
512,*02yk4*,Tyler O'Neill,BOS,OF,DT,28,86
513,*05gtn*,Tyler Soderstrom,OAK,1B,Tino,22,500
514,*03pix*,Tyler Stephenson,CIN,C,owenhern,27,340
515,*0518n*,Vaughn Grissom,BOS,"2B,SS",Tino,23,500
516,*0648z*,Victor Scott,STL,OF,Tino,23,500
517,*05184*,Vinnie Pasquantino,KC,1B,Tino,26,179
518,*03ojr*,Vladimir Guerrero Jr.,TOR,1B,reed,25,28
519,*03aac*,Walker Buehler,LAD,SP,BARTO,29,113
520,*05u3v*,Walker Jenkins,MIN,OF,owenhern,19,127
521,*04an8*,Wenceel Perez,DET,"SS,OF",owenhern,24,310
522,*03zcx*,Will Benson,CIN,OF,reed,25,271
523,*042sz*,Will Smith,LAD,C,DT,29,151
524,*03btu*,Willi Castro,MIN,"3B,SS,OF",BARTO,27,500
525,*03yrz*,William Contreras,MIL,C,JGC,26,70
526,*03oh0*,Willson Contreras,STL,C,LIAM,32,256
527,*03atq*,Willy Adames,MIL,SS,LIAM,28,201
528,*060x1*,Wilyer Abreu,BOS,OF,Kirby,24,183
529,*060pm*,Wyatt Langford,TEX,OF,Tino,22,27
530,*025gb*,Xander Bogaerts,SD,"2B,SS",JGC,31,309
531,*062pp*,Xavier Isaac,TB,1B,Bird,20,189
532,*0524l*,Yainer Diaz,HOU,C,reed,25,178
533,*03m6o*,Yandy Diaz,TB,1B,Geezers,32,253
534,*05g3k*,Yanquiel Fernandez,COL,OF,BARTO,21,500
535,*06at1*,Yariel Rodriguez,TOR,SP,BARTO,27,500
536,*05ych*,Yasser Mercedes,MIN,OF,BEIM,19,500
537,*050ok*,Yennier Cano,BAL,RP,PAP,30,500
538,*02z0e*,Yimi Garcia,TOR,RP,JGC,33,500
539,*04355*,Yordan Alvarez,HOU,OF,LIAM,26,13
540,*05r8n*,Yoshinobu Yamamoto,LAD,SP,DT,25,21
541,*01c5l*,Yu Darvish,SD,SP,JGC,37,211
542,*04ml0*,Yusei Kikuchi,TOR,SP,DT,32,164
543,*041qo*,Zac Gallen,ARI,SP,LIAM,28,51
544,*05gbg*,Zac Veen,COL,OF,BEIM,22,245
545,*0641c*,Zach Dezenzo,HOU,3B,JGC,23,500
546,*02mwq*,Zach Eflin,TB,SP,Geezers,30,153
547,*05xu5*,Zach Neto,LAA,SS,Kirby,23,184
548,*05ub0*,Zack Gelof,OAK,2B,Bird,24,120
549,*031d4*,Zack Littell,TB,"SP,RP",Geezers,28,174
550,*01sb3*,Zack Wheeler,PHI,SP,reed,34,50
551,*066cf*,Zebby Matthews,MIN,SP,PAP,24,221
